Description, Date_Acquired, Date_Sold, Proceeds, Cost, Code, Adjustment

50 GME, 1/15/2023, 6/1/2024, 500, 450,,
3 SWK,3/12/2022,3/13/2024,43.40,41.90,,
60 AMZN,3/17/2024,3/18/2024,430.40,401.90
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 3/1/2024,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,
200 GME, 4/1/22,4/1/2024,89.5,89.52, ,
10 AMZN,4/2/22,4/3/2024,2001.53,2000,,

